property_id,suburb,postcode,address,bedrooms,bathrooms,parking_spaces,listed_area_m2,property_type,sale_date,sale_price_aud,source_website,source_listing_pages
12,Bondi,2026,"6101/32 Wellington Street, Bondi",1.0,1,,,Apartment,2026-05-11,1280000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
13,Bondi,2026,"13/164-166 Bondi Road, Bondi",1.0,1,,,Apartment,2026-05-08,713500,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
14,Bondi,2026,"1/104 Anglesea Street, Bondi",2.0,1,,,Apartment,2026-05-07,1225000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
15,Bondi,2026,"17/64 Penkivil Street, Bondi",3.0,2,2.0,,Apartment,2026-05-05,2200000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
16,Bondi,2026,"7/276 Birrell Street, Bondi",2.0,1,1.0,,Apartment,2026-04-18,1630000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
17,Bondi,2026,"21/20 Edward Street, Bondi",2.0,1,1.0,,Apartment,2026-04-15,1670000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
18,Bondi,2026,"11/15 Wellington Street, Bondi",2.0,1,,,Apartment,2026-04-14,1400000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
19,Bondi,2026,"17/36-38 Penkivil Street, Bondi",3.0,2,1.0,156.0,Apartment,2026-04-03,2110000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
20,Bondi,2026,"1/307 Bondi Road, Bondi",2.0,1,1.0,102.0,Apartment,2026-04-01,1340000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
21,Bondi,2026,"1/8 Flood Street, Bondi",3.0,2,1.0,,Apartment,2026-03-27,1885000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
22,Bondi,2026,"5/241 Old South Head Road, Bondi",2.0,1,,,Apartment,2026-03-27,1200000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
23,Bondi,2026,"6/22 Moore Street, Bondi",2.0,1,,,Apartment,2026-03-25,1233000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
24,Bondi,2026,"3/180 Bondi Road, Bondi",1.0,1,,,Apartment,2026-03-24,725000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
25,Bondi,2026,"6409/32 Wellington Street, Bondi",2.0,2,1.0,,Apartment,2026-02-24,2005000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
26,Bondi,2026,"1-6/3 Moore Street, Bondi",12.0,6,1.0,,Block of units,2026-02-21,7000000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
27,Bondi,2026,"5211/34 Wellington Street, Bondi",3.0,2,2.0,,Apartment,2026-02-19,2800000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
28,Bondi,2026,"1/22a New Street, Bondi",2.0,1,,,Apartment,2026-02-19,1400000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
29,Bondi,2026,"8/40 Penkivil Street, Bondi",3.0,2,1.0,,Apartment,2026-02-17,1920000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
30,Bondi,2026,"2 Denham Street, Bondi",4.0,3,3.0,283.7,House,2026-02-16,6308000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
31,Bondi,2026,"2/28-30 Fletcher Street, Bondi",2.0,2,1.0,,Apartment,2026-02-16,2500000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
32,Bondi,2026,"801/212-218 Bondi Road, Bondi",,1,,,Studio,2026-02-13,560000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
33,Bondi,2026,"3/27 Flood Street, Bondi",2.0,2,1.0,,Apartment,2025-12-12,1465000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
34,Bondi,2026,"4/118 Bondi Road, Bondi",2.0,2,,,Apartment,2025-12-05,1080000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
35,Bondi,2026,"7/15 Wellington Street, Bondi",2.0,1,,,Apartment,2025-11-29,1132000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
36,Bondi,2026,"13/40-46 Penkivil Street, Bondi",2.0,1,1.0,,Apartment,2025-11-18,1330000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
37,Bondi,2026,"2/15 New Street, Bondi",2.0,3,1.0,272.0,House,2025-11-15,3000000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
38,Bondi,2026,"4/304-306 Birrell Street, Bondi",4.0,3,1.0,,Apartment,2025-11-12,2530000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
39,Bondi,2026,"3 Orr Street, Bondi",3.0,1,,192.0,House,2025-11-08,2910000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
40,Bondi,2026,"16 Boonara Avenue, Bondi",3.0,2,4.0,,House,2025-11-05,8025000,realestate.com.au,"https://www.realestate.com.au/sold/in-bondi,%2Bnsw/list-1 and /list-2"
41,Parramatta,2150,"2/16 Betts Street, Parramatta",2.0,1,1.0,,Apartment,2026-09-12,660000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
42,Parramatta,2150,"33/68 Great Western Highway, Parramatta",2.0,1,1.0,116.0,Apartment,2026-09-11,520000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
43,Parramatta,2150,"505/23 Hassall Street, Parramatta",2.0,2,1.0,122.0,Apartment,2026-09-09,660000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
44,Parramatta,2150,"1702/45 Macquarie Street, Parramatta",2.0,2,1.0,,Apartment,2026-09-04,705000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
45,Parramatta,2150,"89/459-463 Church Street, Parramatta",2.0,2,1.0,136.0,Apartment,2026-09-04,580000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
46,Parramatta,2150,"401/8 River Road, Parramatta",2.0,2,1.0,,Apartment,2026-08-21,550000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
47,Parramatta,2150,"11/22-24 Tennyson Street, Parramatta",2.0,2,1.0,,Apartment,2026-08-17,650000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
48,Parramatta,2150,"53/20 Victoria Road, Parramatta",2.0,2,1.0,122.0,Apartment,2026-08-13,640000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
49,Parramatta,2150,"2/1-7 Bobart Street, Parramatta",2.0,1,1.0,251.0,Townhouse,2026-08-12,780000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
50,Parramatta,2150,"3637/180 George Street, Parramatta",1.0,1,,,Apartment,2026-08-12,623000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
51,Parramatta,2150,"5/5 Thomas Street, Parramatta",2.0,1,1.0,81.0,Unit,2026-08-12,530000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
52,Parramatta,2150,"3/11 O'Reilly Street, Parramatta",2.0,2,1.0,145.0,Unit,2026-08-11,657000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
53,Parramatta,2150,"1001/1A Morton Street, Parramatta",2.0,2,1.0,127.0,Apartment,2026-08-07,635000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
54,Parramatta,2150,"4/39 Great Western Highway, Parramatta",2.0,1,1.0,,Unit,2026-08-07,560000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
55,Parramatta,2150,"5/13 Queens Avenue, Parramatta",1.0,1,1.0,,Apartment,2026-08-07,435000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
56,Parramatta,2150,"902/22 Charles Street, Parramatta",1.0,1,1.0,81.0,Unit,2026-08-07,400000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
57,Parramatta,2150,"404/23 Hassall Street, Parramatta",2.0,2,1.0,124.0,Apartment,2026-08-04,680000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
58,Parramatta,2150,"2/15-19 Early Street, Parramatta",2.0,1,1.0,150.0,Apartment,2026-08-04,588000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
59,Parramatta,2150,"214/354-366 Church Street, Parramatta",1.0,1,,,Apartment,2026-08-03,497000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
60,Parramatta,2150,"412/31 Hassall Street, Parramatta",1.0,1,1.0,,Unit,2026-08-03,432000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
61,Parramatta,2150,"3001/11 Hassall St, Parramatta",2.0,2,1.0,,Apartment,2026-08-02,740000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
62,Parramatta,2150,"1/6 Sorrell St, Parramatta",3.0,2,2.0,157.0,Apartment,2026-07-31,805000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
63,Parramatta,2150,"12/37 Fennell Street, Parramatta",3.0,1,1.0,,Apartment,2026-07-31,695000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
64,Parramatta,2150,"D201/1 Broughton Street, Parramatta",1.0,1,1.0,79.0,Apartment,2026-07-31,530000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
65,Parramatta,2150,"16/18 Thomas St, Parramatta",2.0,1,1.0,,Apartment,2026-07-30,626000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
66,Parramatta,2150,"4/13 Henry Street, Parramatta",2.0,1,1.0,,Apartment,2026-07-30,580000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
67,Parramatta,2150,"1601/45 Macquarie Street, Parramatta",1.0,1,1.0,80.0,Apartment,2026-07-29,572000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
68,Parramatta,2150,"907/29 Hunter Street, Parramatta",2.0,2,1.0,,Apartment,2026-07-29,555000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
69,Parramatta,2150,"34/105-107 Church Street, Parramatta",2.0,2,1.0,,Apartment,2026-07-28,625000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
70,Parramatta,2150,"3/22-24 Thomas Street, Parramatta",2.0,1,2.0,122.0,Apartment,2026-07-27,667000,realestate.com.au,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-1 and /list-2"
71,Campbelltown,2560,"133 Dumaresq Street, Campbelltown",3.0,1,,701.9,House,2026-08-29,951000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
72,Campbelltown,2560,"5B Eddington Road, Campbelltown",4.0,2,1.0,332.4,Duplex/semi-detached,2026-08-28,1030000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
73,Campbelltown,2560,"61 Macquarie Avenue, Campbelltown",4.0,2,2.0,669.0,House,2026-08-28,970500,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
74,Campbelltown,2560,"66/17 Warby Street, Campbelltown",2.0,1,1.0,,Unit,2026-08-26,522000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
75,Campbelltown,2560,"35/17 Warby Street, Campbelltown",2.0,1,1.0,,Apartment,2026-08-26,515000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
76,Campbelltown,2560,"2/9 Reddall Street, Campbelltown",2.0,1,1.0,66.0,Unit,2026-07-12,469000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
77,Campbelltown,2560,"48 Gilchrist Drive, Campbelltown",3.0,2,2.0,,House,2026-07-10,965000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
78,Campbelltown,2560,"28 & 28A Westview Street, Campbelltown",7.0,4,2.0,510.9,House,2026-07-08,1750000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
79,Campbelltown,2560,"4/40 Parkside Crescent, Campbelltown",2.0,2,1.0,,Apartment,2026-07-06,772500,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
80,Campbelltown,2560,"3/19 Stewart Street, Campbelltown",2.0,1,1.0,281.0,Townhouse,2026-07-06,730000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
81,Campbelltown,2560,"157/3-17 Queen Street, Campbelltown",1.0,1,1.0,,Apartment,2026-07-04,415000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
82,Campbelltown,2560,"5 Lachlan Place, Campbelltown",3.0,1,2.0,961.0,House,2026-07-02,990000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
83,Campbelltown,2560,"29/3-9 Warby Street, Campbelltown",2.0,2,1.0,109.0,Unit,2026-07-01,547000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
84,Campbelltown,2560,"208/38-42 Chamberlain Street, Campbelltown",2.0,2,1.0,79.0,Apartment,2026-06-28,590000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
85,Campbelltown,2560,"205/32 Chamberlain Street, Campbelltown",2.0,2,2.0,,Apartment,2026-06-23,590000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
86,Campbelltown,2560,"61 Broughton Street, Campbelltown",3.0,1,,1201.0,House,2026-06-19,1600000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
87,Campbelltown,2560,"11 Manning Street, Campbelltown",4.0,2,4.0,556.4,House,2026-06-19,1020000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
88,Campbelltown,2560,"9 Yennora Street, Campbelltown",3.0,1,1.0,551.0,House,2026-06-19,885000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
89,Campbelltown,2560,"24 Poulton Terrace, Campbelltown",4.0,2,2.0,415.0,House,2026-06-16,1170000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
90,Campbelltown,2560,"5 Dan Street, Campbelltown",3.0,1,1.0,567.0,House,2026-06-16,915000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
91,Campbelltown,2560,"23 Allman Street, Campbelltown",3.0,1,1.0,815.0,House,2026-06-13,1220000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
92,Campbelltown,2560,"47 Grandview Drive, Campbelltown",4.0,2,2.0,621.0,House,2026-06-12,920000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
93,Campbelltown,2560,"114/30-36 Warby Street, Campbelltown",1.0,1,1.0,97.0,Unit,2026-06-10,535000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
94,Campbelltown,2560,"132 Waminda Avenue, Campbelltown",2.0,1,2.0,606.0,House,2026-06-09,870000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
95,Campbelltown,2560,"3/11 Barwon Place, Campbelltown",2.0,1,1.0,,Villa,2026-06-09,690000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
96,Campbelltown,2560,"32 Oxley Street, Campbelltown",4.0,2,1.0,486.0,House,2026-06-05,1195000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
97,Campbelltown,2560,"63/39 Chamberlain Street, Campbelltown",1.0,1,1.0,,Unit,2026-06-04,533000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
98,Campbelltown,2560,"35 Canberra Crescent, Campbelltown",4.0,1,1.0,562.8,House,2026-06-01,915000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
99,Campbelltown,2560,"22 Allman Street, Campbelltown",3.0,1,1.0,898.0,House,2026-05-25,1190000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
100,Campbelltown,2560,"401/15 King Street, Campbelltown",2.0,2,1.0,121.0,Apartment,2026-05-23,584000,realestate.com.au,"https://www.realestate.com.au/sold/in-campbelltown,%2Bnsw/list-1 and /list-2"
